id,type,lat,lon,emergency,fire_hydrant:type,fire_hydrant:diameter,operator,colour,color,ref,description,addr:street,addr:housenumber,addr:city,addr:postcode,addr:state,source,survey:date,fire_hydrant:position,fire_hydrant:pressure,access,note,water_source,timestamp,version,changeset,user,uid,all_tags
1139385086,node,41.9771852,-87.6649557,fire_hydrant,pillar,,,,,,,,,,,,,,green,,,,,2024-04-13T13:40:56Z,4,149952521,Nathan Gingrich,21301682,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""green"",""fire_hydrant:type"":""pillar""}"
1619646608,node,41.8766179,-87.6478197,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-06T02:44:31Z,1,10599881,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1619741385,node,41.8804837,-87.6427817,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2022-08-02T22:26:03Z,2,124411547,Zol87,1237170,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1619741391,node,41.8805815,-87.6354622,fire_hydrant,pillar,,,,,,,,,,,,,,sidewalk,,,,,2025-02-07T20:10:43Z,3,162259475,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""sidewalk"",""fire_hydrant:type"":""pillar""}"
1640110662,node,41.960001,-87.7819826,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-20T05:29:44Z,1,10737296,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1640110761,node,41.960265,-87.776891,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-20T05:29:49Z,1,10737296,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1640172887,node,41.953778,-87.7864518,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-20T07:11:34Z,1,10737686,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1640172989,node,41.9543884,-87.7909108,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-20T07:11:39Z,1,10737686,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1640173235,node,41.9549586,-87.7908914,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-20T07:11:52Z,1,10737686,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1640173283,node,41.9550514,-87.7867981,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-20T07:11:54Z,1,10737686,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1640173799,node,41.955821,-87.7865484,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-20T07:12:20Z,1,10737686,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1640174269,node,41.9600133,-87.7881422,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-20T07:12:48Z,1,10737686,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1640174270,node,41.9600461,-87.790207,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-20T07:12:48Z,1,10737686,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1640174271,node,41.9600679,-87.7892623,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-20T07:12:48Z,1,10737686,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1640174273,node,41.9600854,-87.7881429,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-20T07:12:48Z,1,10737686,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
1641480025,node,41.9536251,-87.7906864,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2012-02-21T05:51:00Z,1,10747335,richlv,47892,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
